tanh不行
{"Bleu_1": 0.7551169881522047, "Bleu_2": 0.5870123626510573, "Bleu_3": 0.4288566788154441, "Bleu_4": 0.30244253372429664, "METEOR": 0.2597596694826392, "ROUGE_L": 0.5471436359355017, "CIDEr": 1.0218529378998997, "SPICE": 0.19536972883495313}epoch:1

# 3层 use_npair_loss prefix50 without const learn use_contrastive_loss=True for only the last layer lamada=1
{"Bleu_1": 0.7091362425406629, "Bleu_2": 0.5384921814617736, "Bleu_3": 0.3845418728877358, "Bleu_4": 0.2672547205166267, "METEOR": 0.2369231398082825, "ROUGE_L": 0.520499540337784, "CIDEr": 0.897453453276351, "SPICE": 0.1734836901205202}epoch:0
{"Bleu_1": 0.7506510498586841, "Bleu_2": 0.5845004153581744, "Bleu_3": 0.42669052219924186, "Bleu_4": 0.3011319491870903, "METEOR": 0.25765920479268456, "ROUGE_L": 0.5458797748103551, "CIDEr": 1.0131849621705307, "SPICE": 0.19085834300744092}epoch:1
{"Bleu_1": 0.7567433318263703, "Bleu_2": 0.5933311771047531, "Bleu_3": 0.4378902247302794, "Bleu_4": 0.3146306972385998, "METEOR": 0.2625459356982218, "ROUGE_L": 0.551180385997174, "CIDEr": 1.045727071999482, "SPICE": 0.19614408768726244}epoch:2
{"Bleu_1": 0.7536152198879021, "Bleu_2": 0.5926392461124617, "Bleu_3": 0.439354634056402, "Bleu_4": 0.3171403442946534, "METEOR": 0.26344124759818965, "ROUGE_L": 0.5507987501964557, "CIDEr": 1.0617383123849617, "SPICE": 0.19586454614607068}epoch:3
{"Bleu_1": 0.7643256463284454, "Bleu_2": 0.6033727014321328, "Bleu_3": 0.44858654593622777, "Bleu_4": 0.3245319162802522, "METEOR": 0.26612821364075484, "ROUGE_L": 0.5570783717671677, "CIDEr": 1.0876578740265712, "SPICE": 0.20145866264195142}epoch:4
{"Bleu_1": 0.7632626615966375, "Bleu_2": 0.5994760590380536, "Bleu_3": 0.4450482668237841, "Bleu_4": 0.3230406223827942, "METEOR": 0.2675558105452843, "ROUGE_L": 0.55525615911315, "CIDEr": 1.0879220539652563, "SPICE": 0.20345421304159345}epoch:5
{"Bleu_1": 0.7658329029592194, "Bleu_2": 0.6043459399709398, "Bleu_3": 0.45029491891857976, "Bleu_4": 0.3265333183484054, "METEOR": 0.26784907376164446, "ROUGE_L": 0.5577620882416909, "CIDEr": 1.105833692422467, "SPICE": 0.2044965398461}epoch:6

# 3层 use_npair_loss prefix50 without const learn use_contrastive_loss=True for only the last layer lamada=0.1
{"Bleu_1": 0.7218397248169804, "Bleu_2": 0.5551606821013831, "Bleu_3": 0.4002445266959981, "Bleu_4": 0.28043032739472384, "METEOR": 0.24324640312927412, "ROUGE_L": 0.530637948731229, "CIDEr": 0.9426276639616188, "SPICE": 0.17929777399175498}epoch:0
{"Bleu_1": 0.7561667586013745, "Bleu_2": 0.5907899686855858, "Bleu_3": 0.4328127823280685, "Bleu_4": 0.3073970336712536, "METEOR": 0.2605427680809737, "ROUGE_L": 0.5475539810359878, "CIDEr": 1.0401460705603103, "SPICE": 0.19497355806418576}epoch:1
{"Bleu_1": 0.7630806071534959, "Bleu_2": 0.5989115892871552, "Bleu_3": 0.443123627717554, "Bleu_4": 0.3191464862139725, "METEOR": 0.2632608637047804, "ROUGE_L": 0.552648099460943, "CIDEr": 1.0678094569124903, "SPICE": 0.19834496154392023}epoch:2
{"Bleu_1": 0.7641761731644987, "Bleu_2": 0.6016454511860105, "Bleu_3": 0.4478539619451739, "Bleu_4": 0.32496549566753824, "METEOR": 0.26915184931777025, "ROUGE_L": 0.5560209902511746, "CIDEr": 1.091095807315825, "SPICE": 0.20312610434128459}epoch:3
{"Bleu_1": 0.7724071408884763, "Bleu_2": 0.6104162081805218, "Bleu_3": 0.4545646926745707, "Bleu_4": 0.3300084532052376, "METEOR": 0.26824656262694374, "ROUGE_L": 0.5588817161624473, "CIDEr": 1.1063279456404134, "SPICE": 0.20509095679831243}epoch:4
{"Bleu_1": 0.7714470770130633, "Bleu_2": 0.6088767346416168, "Bleu_3": 0.45321008719810507, "Bleu_4": 0.3292188447604416, "METEOR": 0.27164675776174724, "ROUGE_L": 0.5598486494088075, "CIDEr": 1.1091658521756125, "SPICE": 0.20866696583180802}epoch:5
